"type"	"calories"	"sodium"	"cal.type"
"Beef"	186	495	"heavy"
"Beef"	181	477	"heavy"
"Beef"	176	425	"heavy"
"Beef"	149	322	"light"
"Beef"	184	482	"heavy"
"Beef"	190	587	"heavy"
"Beef"	158	370	"heavy"
"Beef"	139	322	"light"
"Beef"	175	479	"heavy"
"Beef"	148	375	"light"
"Beef"	152	330	"heavy"
"Beef"	111	300	"light"
"Beef"	141	386	"light"
"Beef"	153	401	"heavy"
"Beef"	190	645	"heavy"
"Beef"	157	440	"heavy"
"Beef"	131	317	"light"
"Beef"	149	319	"light"
"Beef"	135	298	"light"
"Beef"	132	253	"light"
"Meat"	173	458	"heavy"
"Meat"	191	506	"heavy"
"Meat"	182	473	"heavy"
"Meat"	190	545	"heavy"
"Meat"	172	496	"heavy"
"Meat"	147	360	"light"
"Meat"	146	387	"light"
"Meat"	139	386	"light"
"Meat"	175	507	"heavy"
"Meat"	136	393	"light"
"Meat"	179	405	"heavy"
"Meat"	153	372	"heavy"
"Meat"	107	144	"light"
"Meat"	195	511	"heavy"
"Meat"	135	405	"light"
"Meat"	140	428	"light"
"Meat"	138	339	"light"
"Poultry"	129	430	"light"
"Poultry"	132	375	"light"
"Poultry"	102	396	"light"
"Poultry"	106	383	"light"
"Poultry"	94	387	"light"
"Poultry"	102	542	"light"
"Poultry"	87	359	"light"
"Poultry"	99	357	"light"
"Poultry"	107	528	"light"
"Poultry"	113	513	"light"
"Poultry"	135	426	"light"
"Poultry"	142	513	"light"
"Poultry"	86	358	"light"
"Poultry"	143	581	"light"
"Poultry"	152	588	"heavy"
"Poultry"	146	522	"light"
"Poultry"	144	545	"light"
